Aaron's beard,Clusiaceae
Aaron's rod,Fabaceae
abaca,Musaceae
Abajo fleabane,Asteraceae
abata cola,Sterculiaceae
Abbeville iris,Iridaceae
Abbot's bushmallow,Malvaceae
abbotswood potentilla,Rosaceae
abelia,Caprifoliaceae
Aberdeen dewberry,Rosaceae
Abert's buckwheat,Polygonaceae
Abert's creeping zinnia,Asteraceae
abey amarillo,Ochnaceae
abietenella moss,Thuidiaceae
abietinella moss,Thuidiaceae
abiu,Sapotaceae
aboriginal saltbush,Chenopodiaceae
aboriginal willowherb,Onagraceae
Abrams' allium,Liliaceae
Abrams' liveforever,Crassulaceae
Abrams' lupine,Fabaceae
Abrams' oxytheca,Polygonaceae
Abrams' sandmat,Euphorbiaceae
Abrams' woollystar,Polemoniaceae
abrojo colorado,Krameriaceae
abrothallus lichen,Uncertain Lichen Family
abruptbeak sedge,Cyperaceae
abrupttip maiden fern,Thelypteridaceae
abrus,Fabaceae
Absaroka Range beardtongue,Scrophulariaceae
absconditella lichen,Stictidaceae
absinthium,Asteraceae
Abyssinia entada,Fabaceae
Abyssinia oxytenanthera,Poaceae
Abyssinian banana,Musaceae
Abyssinian myrrh,Burseraceae
Abyssinian oat,Poaceae
acacia,Fabaceae
acacia fringedfern,Dryopteridaceae
Acadia dogwood,Cornaceae
Acadian quillwort,Isoetaceae
acaena,Rosaceae
acanthus,Acanthaceae
Acapulco grass,Poaceae
acaulon moss,Pottiaceae
aceitillo,Rutaceae
aceitillo falso,Simaroubaceae
aceitunilla,Symplocaceae
Acevedo's velvetshrub,Asteraceae
Achar's graphina lichen,Graphidaceae
achicoria azul,Asteraceae
achiotillo,Euphorbiaceae
achlys,Berberidaceae
achotillo,Caryocaraceae
achyronychia,Caryophyllaceae
acicarpha,Calyceraceae
acidanthera,Iridaceae
acidswamp yelloweyed grass,Xyridaceae
acinos,Lamiaceae
acisanthera,Melastomataceae
Ackerman's milkvetch,Fabaceae
acnistus,Solanaceae
acorn buckwheat,Polygonaceae
acorn peperomia,Piperaceae
acroceras,Poaceae
acrocomia,Arecaceae
acrocordia lichen,Monoblastiaceae
acroporium moss,Sematophyllaceae
actinidia,Actinidiaceae
actinostachys,Schizaeaceae
Acton's brittlebush,Asteraceae
acuba,Cornaceae
acuminate brachythecium moss,Brachytheciaceae
acuminate dung moss,Splachnaceae
acuminate orthothecium moss,Hypnaceae
acuminate pleuridium moss,Ditrichaceae
Acuna's star orchid,Orchidaceae
acute blindia moss,Seligeriaceae
acute brachythecium moss,Brachytheciaceae
acute Indian paintbrush,Scrophulariaceae
acute spikerush,Cyperaceae
acuteleaf dicranum moss,Dicranaceae
acuteleaf small limestone moss,Seligeriaceae
acutetip aulacomnium moss,Aulacomniaceae
acutetip cup lichen,Cladoniaceae
Adam and Eve,Orchidaceae
Adams' manzanita,Ericaceae
Adam's needle,Agavaceae
Adam's tree,Fouquieriaceae
adansonia,Bombacaceae
Adanson's monstera,Araceae
addersmeat,Caryophyllaceae
adder's-mouth orchid,Orchidaceae
adderstongue,Ophioglossaceae
Addison's leather flower,Ranunculaceae
Addison's rosette grass,Poaceae
adelolecia lichen,Bacidiaceae
adequate spike lichen,Caliciaceae
Adirondack blackberry,Rosaceae
Adirondack rinodina lichen,Physciaceae
adlumia,Fumariaceae
adobe desertparsley,Apiaceae
Adobe Hills beardtongue,Scrophulariaceae
adobe lily,Liliaceae
adobe navarretia,Polemoniaceae
adobe popcornflower,Boraginaceae
adobe snakeroot,Apiaceae
adobe yampah,Apiaceae
Adonis blazingstar,Loasaceae
adorned hawthorn,Rosaceae
adoxa,Adoxaceae
Adriatic bellflower,Campanulaceae
adzuki bean,Fabaceae
Aegean wallflower,Brassicaceae
aeginetia,Orobanchaceae
aegle,Rutaceae
aeonium,Crassulaceae
aerialroot bristle fern,Hymenophyllaceae
aerva,Amaranthaceae
aesandra,Sapotaceae
aethusa,Apiaceae
Afghan erysimum,Brassicaceae
Afghan pine,Pinaceae
aframomum,Zingiberaceae
African amaranth,Amaranthaceae
African asparagus,Liliaceae
African asparagus fern,Liliaceae
African basil,Lamiaceae
African Bermudagrass,Poaceae
African bird's-eye bush,Ochnaceae
African bonebract,Asteraceae
African boxthorn,Solanaceae
African breadfruit,Moraceae
African bristlegrass,Poaceae
African caper,Capparaceae
African clover,Fabaceae
African copaiba balsam tree,Fabaceae
African cornflag,Iridaceae
African cornlily,Iridaceae
African couchgrass,Poaceae
African daisy,Asteraceae
African dayflower,Commelinaceae
